Institution,Tender Link
https://www.geoscience.org.za/,https://www.geoscience.org.za/tenders/
https://www.harrygwaladm.gov.za,https://www.harrygwaladm.gov.za/supply-chain.html
https://www.hda.org.za/,https://www.hda.org.za/supply-chain-management/
https://www.hsrc.ac.za/,https://www.hsrc.ac.za/tenders/
https://www.hwseta.org.za/,https://www.hwseta.org.za/tenders/
https://www.ikhala.edu.za,https://www.ikhala.edu.za/tenders-rfq
https://www.inseta.org.za/,https://www.inseta.org.za/supply-chain-management/
https://www.itac.org.za/,https://www.itac.org.za/tenders/
https://www.kouga.gov.za,https://www.kouga.gov.za/tenders
https://www.legalaid.co.za/,https://www.legalaid.co.za/tenders/
https://www.lejweleputswa.fs.gov.za/,https://www.lejweleputswa.fs.gov.za/tenders
https://www.lgseta.org.za/,https://www.lgseta.org.za/supply-chain/
https://www.matlosana.gov.za,https://www.matlosana.gov.za/tenders
https://www.mdda.org.za/,https://www.mdda.org.za/tenders/
https://www.merseta.org.za/,https://www.merseta.org.za/tenders/
https://www.mict.org.za/,https://www.mict.org.za/supply-chain/
https://www.mohokare.gov.za,https://www.mohokare.gov.za/tenders
https://www.mqa.org.za/,https://www.mqa.org.za/supply-chain-management/
https://www.nac.org.za/,https://www.nac.org.za/tenders/
https://www.ncr.org.za/,https://www.ncr.org.za/tenders/
https://www.nda.org.za/,https://www.nda.org.za/tenders/
https://www.nefcorp.co.za/,https://www.nefcorp.co.za/supply-chain/
https://www.nersa.org.za/,https://www.nersa.org.za/tenders/
https://www.nfvf.co.za/,https://www.nfvf.co.za/tenders/
https://www.ngb.org.za/,https://www.ngb.org.za/tenders/
https://www.nhbrc.org.za/,https://www.nhbrc.org.za/tenders/
https://www.nhfc.co.za/,https://www.nhfc.co.za/supply-chain-management/
https://www.nkangaladm.gov.za,https://www.nkangaladm.gov.za/tenders
https://www.nlcsa.org.za/,https://www.nlcsa.org.za/tenders/
https://www.nnr.co.za/,https://www.nnr.co.za/tenders/
https://www.nrcs.org.za/,https://www.nrcs.org.za/tenders/
https://www.nsfas.org.za/,https://www.nsfas.org.za/tenders/
https://www.nyda.gov.za/,https://www.nyda.gov.za/tenders.html
https://www.portsregulator.org/,https://www.portsregulator.org/tenders/
https://www.ppecb.com/,https://www.ppecb.com/tenders/
https://www.ppra.org.za/,https://www.ppra.org.za/tenders/
https://www.pseta.org.za/,https://www.pseta.org.za/tenders/
https://www.psira.co.za/,https://www.psira.co.za/tenders/
https://www.raf.co.za/,https://www.raf.co.za/tenders/
https://www.rsr.org.za/,https://www.rsr.org.za/tenders/
https://www.rtmc.co.za/,https://www.rtmc.co.za/tenders/
https://www.rustenburg.gov.za,https://www.rustenburg.gov.za/tenders
https://www.sace.org.za/,https://www.sace.org.za/tenders/
https://www.sahpra.org.za/,https://www.sahpra.org.za/tenders/
https://www.samrc.ac.za/,https://www.samrc.ac.za/tenders/
https://www.samsa.org.za/,https://www.samsa.org.za/tenders/
https://www.sanbi.org/,https://www.sanbi.org/tenders/
https://www.sanparks.org/,https://www.sanparks.org/tenders/
https://www.sansa.org.za/,https://www.sansa.org.za/tenders/
https://www.sars.gov.za/,https://www.sars.gov.za/tenders/
https://www.sassa.gov.za/,https://www.sassa.gov.za/tenders/
https://www.sasseta.org.za/,https://www.sasseta.org.za/tenders/
https://www.sedibeng.gov.za,https://www.sedibeng.gov.za/tenders.html
https://www.servseta.org.za/,https://www.servseta.org.za/supply-chain/
https://www.siu.org.za/,https://www.siu.org.za/tenders/
https://www.solplaatje.gov.za,https://www.solplaatje.gov.za/t...
https://www.swgc.co.za/,https://www.swgc.co.za/tenders/
https://www.umgungundlovu.gov.za,https://www.umgungundlovu.gov.za/tenders
https://www.vhembe.gov.za,https://www.vhembe.gov.za/advertised-tenders/
https://www.wrdm.gov.za,https://www.wrdm.gov.za/open-tenders/
https://www.zfmgcawu.gov.za,https://www.zfmgcawu.gov.za/tenders
iLembe,https://www.ndwedwe.gov.za
iLembe,https://www.maphumulo.gov.za
iLembe,https://www.kwadukuza.gov.za
iLembe,https://www.mandeni.gov.za
iLembe District,https://www.ilembe.gov.za
iSimangaliso Wetland Park,https://www.isimangaliso.com/
iThemba Laboratory for Accelerator Based Sciences (NRF),https://tlabs.ac.za/?s=Tenders
lavius Mareka TVET College,https://www.flaviusmareka.net
or /tenders,http://www.thabomofutsanyana.gov.za/notices.aspx
or Public Notices,https://www.sekhukhunedistrict.gov.za/?q=advertised_tenders
or SCM,https://www.blouberg.gov.za/tenders
or SCM section,https://www.ehlanzeni.gov.za/tenders
or SCM section,https://www.gardenroute.gov.za/tenders
or SCM section,https://www.cipc.co.za/tenders/
or SCM section,https://www.nmmdm.gov.za/tenders
or SCM section,https://www.namakwadm.gov.za/tenders
or SCM section,https://www.cdm.org.za/category/bids/
uMgungundlovu,https://www.impendle.gov.za
uMgungundlovu,https://www.mpofana.gov.za
uMgungundlovu,https://www.mkhambathini.gov.za
uMgungundlovu,https://www.richmond.gov.za
uMgungundlovu,https://www.umngeni.gov.za
uMgungundlovu,https://www.umshwathi.gov.za
uMgungundlovu,https://www.msunduzi.gov.za
uMgungundlovu District,https://www.umgungundlovu.gov.za
uMkhanyakude,https://www.umhlabuyalingana.gov.za
uMkhanyakude,https://www.jozini.gov.za
uMkhanyakude,https://www.mtubatuba.gov.za
uMkhanyakude,https://www.big5hlabisa.gov.za
uMkhanyakude District,https://www.umkhanyakude.gov.za
uMngeni-uThukela Water,https://umngeni-uthukela.co.za/tender/
uMzinyathi,https://www.umsinga.gov.za
uMzinyathi,https://www.nquthu.gov.za
uMzinyathi,https://www.endumeni.gov.za
uMzinyathi,https://www.alfredduma.gov.za
uMzinyathi,https://www.umvoti.gov.za
uMzinyathi District,https://www.umzinyathi.gov.za
uThukela,https://www.inkosilangalibalele.gov.za
uThukela,https://www.okhahlamba.gov.za
uThukela District,https://www.uthukela.gov.za
